timestamps,open,high,low,close,volume,amount
2015-01-05,10.92,11.32,10.7,11.2,11199047,122874834.2
2015-01-06,11.13,11.44,10.97,11.37,9768914,109997341.7
2015-01-07,11.33,11.37,11.19,11.27,5473049,61719213.300000004
2015-01-08,11.25,11.47,11.2,11.32,6626513,75055437.5
2015-01-09,11.32,11.4,11.08,11.09,6451076,72887413.0
2015-01-12,11.04,11.12,10.8,10.81,5088596,55527041.5
2015-01-13,10.72,11.18,10.72,11.1,4318022,47508654.199999996
2015-01-14,11.14,11.14,10.89,10.93,4169598,45906150.199999996
2015-01-15,10.89,11.34,10.89,11.28,10426453,117050875.19999999
2015-01-16,11.25,11.48,11.21,11.43,11906067,135508313.9
2015-01-19,11.1,11.45,10.85,11.07,7931982,88843365.60000001
2015-01-20,11.06,11.69,11.06,11.69,14588448,167410045.4
2015-01-21,11.69,11.86,11.6,11.83,16689544,195919209.5
2015-01-22,11.76,12.03,11.68,11.9,20058784,238503995.5
2015-01-23,11.86,12.03,11.71,11.83,14734075,174700261.7
2015-01-26,11.83,11.98,11.65,11.88,15917017,187360407.79999998
2015-01-27,11.92,11.94,11.65,11.89,12943551,152941907.0
2015-01-28,11.8,11.95,11.74,11.79,8034596,95145503.80000001
2015-01-29,11.7,11.79,11.58,11.59,7135095,83314324.1
2015-01-30,11.62,11.69,11.51,11.51,5646796,65577630.300000004
2015-02-02,11.4,11.55,11.35,11.39,4461792,51065310.3
2015-02-03,11.48,11.77,11.47,11.69,7972187,92996161.30000001
2015-02-04,11.68,11.85,11.6,11.77,8433574,98898964.9
2015-02-05,11.8,11.98,11.56,11.65,11625395,137738205.6
2015-02-06,11.6,11.66,11.14,11.21,7618253,87170925.9
2015-02-09,11.18,11.32,11.05,11.13,4436729,49653100.1
2015-02-10,11.19,11.27,11.1,11.26,3638242,40709886.3
2015-02-11,11.26,11.43,11.26,11.35,3958980,44927505.1
2015-02-12,11.37,11.43,11.33,11.36,4357245,49574342.1
2015-02-13,11.4,11.63,11.4,11.52,7961310,91887123.60000001
2015-02-16,11.53,11.98,11.53,11.94,13993923,165881504.7
2015-02-17,12.0,12.03,11.83,11.89,9411225,112046172.60000001
2015-02-25,11.91,12.12,11.88,12.01,13803524,166064344.2
2015-02-26,12.02,12.1,11.92,12.02,10352166,124229424.19999999
2015-02-27,12.05,12.14,12.0,12.1,12731615,153553985.79999998
2015-03-02,12.14,12.38,12.04,12.33,19243016,234739321.7
2015-03-03,12.32,12.35,11.99,12.04,15508871,189484403.6
2015-03-04,12.05,12.57,12.05,12.5,19955678,245632752.2
2015-03-05,12.49,12.56,12.34,12.55,16040486,199853685.3
2015-03-06,12.54,12.6,12.18,12.21,11872026,146439124.4
2015-03-09,12.18,12.42,12.03,12.35,9221566,113024037.7
2015-03-10,12.37,12.64,12.37,12.48,14680247,184210954.8
2015-03-11,12.5,12.57,12.27,12.35,12002133,148767521.70000002
2015-03-12,12.37,12.48,12.08,12.24,10839966,132757438.49999999
2015-03-13,12.29,12.58,12.19,12.54,14252545,176791166.3
2015-03-16,12.62,12.83,12.58,12.74,19171602,244062294.5
2015-03-17,12.82,12.85,12.55,12.79,21814666,277580335.29999995
2015-03-18,12.8,13.07,12.69,12.99,21479196,277026384.9
2015-03-19,12.91,13.11,12.8,12.98,20602468,266932693.70000002
2015-03-20,13.03,13.48,12.94,13.3,30465587,403395674.79999995
2015-03-23,13.36,13.49,13.27,13.41,22784439,304235267.70000005
2015-03-24,13.41,13.42,12.55,13.2,25719779,337305160.5
