timestamps,open,high,low,close,volume,amount
2015-01-05,11.52,11.64,11.41,11.58,493533,5693817.0
2015-01-06,11.6,11.79,11.51,11.72,783989,9127503.0
2015-01-07,11.72,11.8,11.64,11.66,665205,7782351.0
2015-01-08,11.66,12.17,11.64,12.03,1031496,12307193.0
2015-01-09,12.09,12.34,11.97,12.24,802132,9795327.0
2015-01-12,12.18,12.18,11.77,11.89,735500,8768917.0
2015-01-13,11.75,11.97,11.75,11.93,341624,4059695.0
2015-01-14,11.98,11.98,11.68,11.75,493306,5821498.0
2015-01-15,11.79,11.81,11.69,11.75,572901,6723039.0
2015-01-16,11.75,11.8,11.68,11.71,593370,6959419.0
2015-01-19,11.6,11.6,11.32,11.39,959701,11016463.0
2015-01-20,11.45,11.64,11.4,11.6,738553,8518951.0
2015-01-21,11.61,11.9,11.6,11.87,1277718,15067330.0
2015-01-22,11.92,12.24,11.85,12.13,1272467,15364832.0
2015-01-23,12.14,12.36,12.08,12.13,1216084,14861170.0
2015-01-26,12.13,12.4,12.13,12.35,921622,11291820.0
2015-01-27,12.38,12.39,12.14,12.32,689923,8456895.0
2015-01-28,12.3,12.48,12.22,12.35,774415,9569972.0
2015-01-29,12.29,12.47,12.24,12.42,890563,11010535.0
2015-01-30,12.49,13.03,12.47,12.82,2195303,27894176.0
2015-02-02,12.6,12.73,12.48,12.57,808200,10179038.0
2015-02-03,12.53,12.66,12.5,12.65,554610,6981955.0
2015-02-04,12.65,12.92,12.55,12.88,737790,9399933.0
2015-02-05,12.93,13.07,12.6,12.7,733328,9424127.0
2015-02-06,12.7,12.75,12.35,12.47,694684,8674860.0
2015-02-09,12.47,12.47,12.15,12.18,624380,7692640.0
2015-02-10,12.18,12.27,12.11,12.16,771685,9389184.0
2015-02-11,12.22,12.34,12.2,12.33,354235,4336688.0
2015-02-12,12.34,12.51,12.31,12.5,499300,6199514.0
2015-02-13,12.54,12.72,12.54,12.71,488480,6188483.0
2015-02-16,12.72,12.85,12.66,12.8,565427,7229434.0
2015-02-17,12.78,12.9,12.77,12.81,830584,10641543.0
2015-02-25,12.79,12.81,12.7,12.73,581830,7424898.0
2015-02-26,12.75,12.82,12.63,12.81,548609,6985802.0
2015-02-27,12.78,12.94,12.78,12.89,859340,11064322.0
2015-03-02,12.87,13.36,12.86,13.34,1599887,21052174.0
2015-03-03,13.13,13.75,13.13,13.42,1099410,14737105.0
2015-03-04,13.41,13.67,13.37,13.59,588125,7976581.0
2015-03-05,13.5,13.59,13.33,13.49,1158656,15594552.0
2015-03-06,13.47,13.59,13.41,13.5,733900,9909359.0
2015-03-09,13.51,13.69,13.36,13.6,930270,12614124.0
2015-03-10,13.67,13.79,13.54,13.71,663619,9098718.0
2015-03-11,13.71,13.77,13.4,13.49,1026550,13889853.0
2015-03-12,13.43,13.55,13.33,13.37,836875,11246746.0
2015-03-13,13.43,13.5,13.37,13.41,457558,6146022.0
2015-03-16,13.56,13.94,13.42,13.88,1467953,20230292.0
2015-03-17,13.88,14.03,13.81,13.93,1106002,15409852.0
2015-03-18,13.92,14.15,13.91,14.12,1359829,19065628.0
2015-03-19,14.15,14.29,14.01,14.16,1337321,18934387.0
2015-03-20,14.16,14.87,14.13,14.87,1643369,23782979.0
2015-03-23,15.05,15.38,14.8,15.35,2136351,32352188.0
2015-03-24,15.38,15.42,14.76,15.07,2017839,30468788.0
2015-03-25,15.07,15.14,14.76,14.96,1216444,18107143.0
2015-03-26,14.96,15.1,14.78,14.83,960095,14269989.0
2015-03-27,14.94,15.18,14.91,15.01,988337,14872831.0
2015-03-30,15.0,15.39,14.9,15.15,1064743,16191979.0
2015-03-31,15.14,15.31,15.02,15.14,858927,13007983.0
2015-04-01,15.1,15.38,15.1,15.37,1001562,15266957.0
2015-04-02,15.3,16.14,15.3,16.14,1917963,30664281.0
2015-04-03,16.18,16.93,16.14,16.8,1534170,25607868.0
2015-04-07,16.9,17.26,16.7,16.79,1640874,27706826.0
2015-04-08,16.83,16.84,16.2,16.42,1809566,29768871.0
2015-04-09,16.29,16.48,15.6,15.81,2246828,35632564.0
2015-04-10,15.81,16.45,15.74,16.39,1325042,21482064.0
2015-04-13,16.5,16.8,16.4,16.69,1622339,26984358.0
2015-04-14,16.72,17.52,16.6,17.52,3675279,63773631.0
2015-04-15,17.46,17.52,16.64,16.64,2419290,40723698.0
2015-04-16,16.63,16.89,15.88,16.61,1076394,17857029.0
2015-04-17,16.67,16.88,16.36,16.66,1922607,31942089.0
2015-04-20,16.55,17.38,16.44,16.57,2404654,40592960.0
2015-04-21,16.5,17.25,16.5,17.17,1292754,21993527.0
2015-04-22,17.08,18.03,17.08,18.03,1732939,31016386.0
2015-04-23,18.12,18.93,18.12,18.93,413325,7769248.0
2015-04-24,19.88,19.88,19.88,19.88,674138,13401863.0
2015-04-27,20.8,20.8,18.89,18.95,4141956,80503941.0
2015-04-28,18.93,18.93,18.0,18.0,1799620,32792996.0
2015-04-29,17.79,18.9,17.41,18.58,2856699,51754193.0
2015-04-30,18.35,18.52,17.65,17.66,2598870,46821128.0
2015-05-04,17.59,17.79,16.88,17.44,2479566,42907467.0
2015-05-05,17.34,17.45,16.57,16.57,2181388,36967117.0
2015-05-06,16.59,17.05,16.2,16.44,1650548,27592318.0
2015-05-07,16.4,16.7,16.38,16.48,1300029,21486339.0
2015-05-08,16.67,17.3,16.67,17.23,1535240,26184633.0
2015-05-11,17.4,17.85,17.16,17.81,2019036,35477546.0
2015-05-12,17.76,18.7,17.76,18.7,2637489,48532802.0
2015-05-13,18.58,19.1,18.57,18.79,1953290,36734500.0
2015-05-14,18.71,19.2,18.7,18.99,1507280,28563728.0
2015-05-15,19.19,19.19,18.53,19.03,1661299,31412556.0
2015-05-18,18.86,19.98,18.86,19.98,2018091,39961348.0
2015-05-19,,,,,0,
2015-05-20,,,,,0,
2015-05-21,,,,,0,
2015-05-22,,,,,0,
2015-05-25,,,,,0,
2015-05-26,,,,,0,
2015-05-27,,,,,0,
2015-05-28,,,,,0,
2015-05-29,,,,,0,
2015-06-01,,,,,0,
2015-06-02,,,,,0,
2015-06-03,,,,,0,
2015-06-04,,,,,0,
2015-06-05,,,,,0,
2015-06-08,,,,,0,
2015-06-09,,,,,0,
2015-06-10,,,,,0,
2015-06-11,,,,,0,
2015-06-12,,,,,0,
2015-06-15,,,,,0,
2015-06-16,,,,,0,
2015-06-17,,,,,0,
2015-06-18,,,,,0,
2015-06-19,,,,,0,
2015-06-23,,,,,0,
2015-06-24,,,,,0,
2015-06-25,,,,,0,
2015-06-26,,,,,0,
2015-06-29,,,,,0,
2015-06-30,,,,,0,
2015-07-01,,,,,0,
2015-07-02,,,,,0,
2015-07-03,,,,,0,
2015-07-06,,,,,0,
2015-07-07,,,,,0,
2015-07-08,,,,,0,
2015-07-09,,,,,0,
2015-07-10,,,,,0,
2015-07-13,,,,,0,
2015-07-14,,,,,0,
2015-07-15,,,,,0,
2015-07-16,,,,,0,
2015-07-17,,,,,0,
2015-07-20,,,,,0,
2015-07-21,,,,,0,
2015-07-22,,,,,0,
2015-07-23,,,,,0,
2015-07-24,,,,,0,
2015-07-27,,,,,0,
2015-07-28,,,,,0,
2015-07-29,,,,,0,
2015-07-30,,,,,0,
2015-07-31,,,,,0,
2015-08-03,,,,,0,
2015-08-04,,,,,0,
2015-08-05,,,,,0,
