timestamps,open,high,low,close,volume,amount
2023-02-09,12.9,15.11,12.9,15.0,13569476,186937709.0
2023-02-10,13.68,13.68,12.11,12.15,8872005,113560773.0
2023-02-13,11.95,12.23,11.33,11.97,3489435,40996965.0
2023-02-14,11.98,12.13,11.47,11.58,2860859,33451449.999999996
2023-02-15,11.44,12.11,11.41,11.74,2901914,34378685.0
2023-02-16,11.76,11.99,11.47,11.53,2140782,24934100.0
2023-02-17,11.53,11.58,11.17,11.25,2005338,22685040.0
2023-02-20,11.38,11.5,11.22,11.33,1213164,13797881.0
2023-02-21,11.28,11.3,11.03,11.09,1717086,19117958.0
2023-02-22,11.07,11.18,10.98,11.11,575868,6393448.0
2023-02-23,11.16,11.18,10.77,10.79,1191616,13008425.0
2023-02-24,10.62,11.19,10.62,10.9,1175760,12955366.0
2023-02-27,10.8,10.85,10.65,10.69,812857,8708575.0
2023-02-28,10.76,10.8,10.64,10.76,598997,6421619.0
2023-03-01,10.78,10.79,10.66,10.68,544459,5825829.0
2023-03-02,10.69,10.71,10.5,10.51,660740,6998388.0
2023-03-03,10.42,10.53,10.28,10.35,488299,5065903.0
2023-03-06,10.37,10.43,10.32,10.36,336367,3484995.0
2023-03-07,10.34,10.34,10.1,10.14,666398,6796165.0
2023-03-08,10.1,10.16,10.05,10.15,429901,4334644.0
2023-03-09,10.22,10.22,10.03,10.05,298533,3008971.0
2023-03-10,10.09,10.1,10.0,10.02,243268,2441914.0
2023-03-13,10.0,10.0,9.9,9.94,268370,2665309.0
2023-03-14,9.91,9.94,9.71,9.76,289765,2842332.0
2023-03-15,9.8,9.88,9.74,9.83,201995,1976789.0
2023-03-16,9.8,9.87,9.58,9.58,339839,3288178.0
2023-03-17,9.61,9.65,9.51,9.56,242443,2314486.0
2023-03-20,9.6,9.6,9.44,9.44,191334,1810845.0
2023-03-21,9.44,9.68,9.44,9.66,178111,1703623.0
2023-03-22,9.7,9.71,9.62,9.64,166295,1607783.0
2023-03-23,9.63,9.65,9.45,9.5,229495,2181019.0
2023-03-24,9.6,9.6,9.44,9.53,205210,1947364.0
2023-03-27,9.64,9.82,9.53,9.63,383263,3715095.0
2023-03-28,9.63,9.65,9.56,9.57,104743,1005705.0
2023-03-29,9.55,9.58,9.41,9.53,173001,1642300.0
2023-03-30,9.46,9.51,9.4,9.47,190986,1800957.0
2023-03-31,9.43,9.48,9.4,9.46,152235,1437211.0
2023-04-03,9.47,9.53,9.39,9.39,217637,2049510.0000000002
2023-04-04,9.4,9.42,9.35,9.39,107259,1005700.0
2023-04-06,9.35,9.38,9.3,9.36,291805,2719302.0
2023-04-07,9.26,9.36,9.25,9.31,156406,1455474.0
2023-04-10,9.26,9.33,9.13,9.25,485110,4478010.0
2023-04-11,9.22,9.28,9.19,9.23,230646,2129663.0
2023-04-12,9.26,9.31,9.2,9.25,117749,1088290.0
2023-04-13,9.2,9.27,9.18,9.24,196114,1804760.0
2023-04-14,9.24,9.25,9.19,9.24,208773,1924657.0
2023-04-17,9.21,9.25,9.21,9.23,150881,1392484.0
2023-04-18,9.18,9.24,9.17,9.24,94103,864997.0
2023-04-19,9.19,9.3,9.17,9.28,199082,1839280.0
2023-04-20,9.28,9.29,9.16,9.2,209439,1924567.0
2023-04-21,9.16,9.18,9.03,9.05,185045,1684068.0
2023-04-24,9.05,9.05,8.92,8.96,169801,1525227.0
2023-04-25,8.94,8.99,8.81,8.83,163792,1453964.0
2023-04-26,8.76,8.9,8.76,8.85,96862,856498.0
2023-04-27,8.79,8.88,8.74,8.81,130020,1144874.0
2023-04-28,8.99,9.23,8.85,9.2,372737,3403361.0
2023-05-04,9.24,9.71,9.22,9.67,953881,9114715.0
2023-05-05,9.8,10.72,9.79,10.38,2730141,27745548.0
2023-05-08,10.4,10.44,9.95,10.3,1987919,20242350.0
2023-05-09,10.41,10.45,9.85,9.87,1018034,10260690.0
2023-05-10,9.6,9.77,9.5,9.64,545259,5240028.0
2023-05-11,9.56,9.91,9.5,9.85,352424,3439663.0
2023-05-12,9.78,9.84,9.67,9.78,255430,2487437.0
2023-05-15,9.77,9.8,9.65,9.77,208698,2030044.0
2023-05-16,9.82,9.96,9.66,9.79,313535,3065690.0
2023-05-17,9.86,9.9,9.71,9.78,305557,2982500.0
2023-05-18,9.74,9.77,9.6,9.63,327799,3169312.0
2023-05-19,9.65,9.74,9.6,9.74,156069,1508491.0
2023-05-22,9.76,9.77,9.69,9.75,214712,2092021.0000000002
2023-05-23,9.76,10.27,9.75,10.17,991241,10031897.0
2023-05-24,10.05,10.5,10.05,10.15,1064612,10954984.0
2023-05-25,10.16,10.18,9.85,9.97,565131,5649931.0
2023-05-26,9.89,9.89,8.97,9.66,573041,5458760.0
2023-05-29,9.63,9.67,9.41,9.45,191129,1823209.0
